Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6235,0,5,7.104699311467429,2.406337000024905,262.18459200003963,83261.58604651163,52.234834925565735,0.0,5,6,7,7,11,18,30,46,96,260,260
GET,/post-detail,20883,0,5,7.156159381794286,2.3820440000008603,262.4448220000204,83267.03730306948,174.95109186055961,0.0,5,6,7,7,11,18,30,46,100,180,260
,Aggregated,27118,0,5,7.144327626558376,2.3820440000008603,262.4448220000204,83265.78394424368,227.18592678612535,0.0,5,6,7,7,11,18,30,46,97,230,260
