Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7829,0,5,8.545040607996151,2.1208069999829604,182.13174799996068,83284.75922850939,65.56374803071891,0.0,5,7,8,9,15,24,48,67,130,180,180
GET,/post-detail,26149,0,5,8.657797417797946,2.131551999923431,231.14216899989515,83259.22062029141,218.98409084880177,0.0,5,7,8,10,15,25,46,68,120,210,230
,Aggregated,33978,0,5,8.631816693095585,2.1208069999829604,231.14216899989515,83265.10506798516,284.54783887952067,0.0,5,7,8,10,15,25,46,68,130,180,230
