Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,776,36,27000.0,25981.473189163622,3768.2621920000656,63103.634481999965,73343.36597938144,5.999317174398022,0.2783188379875371,27000,27000,28000,28000,29000,46000,60000,60000,63000,63000,63000
GET,/post-detail,2696,109,27000.0,25428.939100550797,3459.306647999938,63036.10800599995,82950.92729970327,20.842988533733333,0.8426875927955984,27000,27000,28000,28000,29000,32000,60000,60000,61000,63000,63000
,Aggregated,3472,145,27000.0,25552.431742475805,3459.306647999938,63103.634481999965,80803.61520737327,26.842305708131356,1.1210064307831356,27000,27000,28000,28000,29000,33000,60000,60000,61000,63000,63000
