Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1019,239,27000.0,24966.410241732116,4112.64987200002,60489.838549000066,58898.37880274779,7.8525581932828015,1.8417678196217757,27000,28000,28000,28000,29000,60000,60000,60000,60000,60000,60000
GET,/post-detail,3467,922,27000.0,25409.9167967301,3925.8137479998823,60504.459844000165,63488.3181424863,26.71719259677279,7.10506246732752,27000,28000,28000,28000,35000,60000,60000,60000,60000,61000,61000
,Aggregated,4486,1161,27000.0,25309.173778552908,3925.8137479998823,60504.459844000165,62445.70820329915,34.56975079005559,8.946830286949295,27000,28000,28000,28000,33000,60000,60000,60000,60000,61000,61000
