Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,796,0,21000.0,18515.62005742713,1411.804310999969,22816.41963700008,76905.0,6.159930491320283,0.0,21000,21000,21000,21000,22000,22000,22000,22000,23000,23000,23000
GET,/post-detail,2600,0,20000.0,18355.440308312318,1315.8841670001493,22678.398799999966,86440.69192307693,20.120375976674293,0.0,20000,21000,21000,21000,22000,22000,22000,22000,23000,23000,23000
,Aggregated,3396,0,20000.0,18392.98538495993,1315.8841670001493,22816.41963700008,84205.5886336867,26.280306467994574,0.0,20000,21000,21000,21000,22000,22000,22000,22000,23000,23000,23000
