Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1285,0,4,4.884488907393671,2.592941999978393,476.00387299999625,83290.41634241246,10.77426604339395,0.0,4,4,4,4,5,5,8,17,470,480,480
GET,/post-detail,4480,0,4,4.619302516964248,2.4368050000020958,475.2602610000167,83255.68258928572,37.56319990226062,0.0,4,4,4,4,5,5,13,18,290,480,480
,Aggregated,5765,0,4,4.678411712402541,2.4368050000020958,476.00387299999625,83263.42463139635,48.33746594565457,0.0,4,4,4,4,5,5,11,18,300,480,480
