Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8343,0,6,10.684001511446855,2.075590000004013,292.5616080000282,83352.57976746974,69.83685177988497,0.0,6,8,10,13,22,35,67,85,140,290,290
GET,/post-detail,27706,0,6,10.985383053923304,2.0426290000159497,421.3309479999907,83239.9540171804,231.91895186545523,0.0,6,8,10,13,23,39,69,86,140,290,420
,Aggregated,36049,0,6,10.915632819273828,2.0426290000159497,421.3309479999907,83266.01955671447,301.7558036453402,0.0,6,8,10,13,23,38,69,86,140,290,420
